Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Agrocybe	0.982	0.9416	400	Agrocybe	0.982	0.9416	400	259	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Microascus	0.987	0.9409	400	Microascus	0.987	0.9409	400	330	31	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Emericellopsis	0.995	0.8489	400	Emericellopsis	0.995	0.8489	400	112	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Blastobotrys	0.993	0.9561	400	Blastobotrys	0.993	0.9561	400	200	24	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calvatia	0.986	0.7834	400	All	0.991	0.8232	400	138	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cantharellus	0.997	0.7584	400	All	0.991	0.8232	400	236	57	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Antrodia	0.983	0.8783	400	Antrodia	0.983	0.8783	400	284	36	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Ceratobasidium	0.968	0.9832	400	Ceratobasidium	0.968	0.9832	400	725	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gaeumannomyces	0.978	0.8638	400	Gaeumannomyces	0.978	0.8638	400	132	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tubaria	0.99	0.9336	400	Tubaria	0.99	0.9336	400	111	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Volvariella	0.974	0.92	400	Volvariella	0.974	0.92	400	161	24	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Dioszegia	0.987	0.8755	400	Dioszegia	0.987	0.8755	400	153	23	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lepraria	0.977	0.8663	400	Lepraria	0.977	0.8663	400	314	47	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Marasmiellus	0.963	0.8374	400	Marasmiellus	0.963	0.8374	400	100	27	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Oudemansiella	0.926	0.8159	400	All	0.991	0.8232	400	105	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hymenopellis	0.983	0.7308	400	All	0.991	0.8232	400	177	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Antrodiella	0.991	0.9499	400	Antrodiella	0.991	0.9499	400	137	20	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Haploporus	0.955	0.885	400	Haploporus	0.955	0.885	400	40	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Deconica	0.982	0.8331	400	Deconica	0.982	0.8331	400	94	28	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cuphophyllus	0.983	0.7276	400	All	0.991	0.8232	400	187	23	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Galerina	0.989	0.8538	400	Galerina	0.989	0.8538	400	411	52	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gerronema	0.97	0.9075	400	Gerronema	0.97	0.9075	400	74	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lentaria	0.937	0.9531	400	Lentaria	0.937	0.9531	400	52	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tyromyces	0.977	0.9084	400	Tyromyces	0.977	0.9084	400	132	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tremella	0.967	0.897	400	Tremella	0.967	0.897	400	474	76	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Fusicolla	0.982	0.8864	400	Fusicolla	0.982	0.8864	400	72	16	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Teunomyces	0.923	0.7706	400	All	0.991	0.8232	400	52	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Suhomyces	0.97	0.7819	400	All	0.991	0.8232	400	103	26	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Leptogium	0.987	0.8619	400	Leptogium	0.987	0.8619	400	202	27	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Sugiyamaella	0.961	0.9821	400	Sugiyamaella	0.961	0.9821	400	93	28	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Phaeoclavulina	0.964	0.7378	400	All	0.991	0.8232	400	92	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Protoparmeliopsis	0.953	0.9345	400	Protoparmeliopsis	0.953	0.9345	400	122	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Circinaria	0.953	0.805	400	All	0.991	0.8232	400	125	25	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Aspicilia	0.972	0.7932	400	All	0.991	0.8232	400	256	65	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Malbranchea	0.983	0.8782	400	Malbranchea	0.983	0.8782	400	131	20	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Periconia	0.964	0.888	400	Periconia	0.964	0.888	400	260	24	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Starmerella	0.962	0.9123	400	Starmerella	0.962	0.9123	400	358	36	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lophiostoma	0.993	0.6909	400	All	0.991	0.8232	400	131	47	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gliocephalotrichum	0.993	0.781	400	All	0.991	0.8232	400	55	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Conocybe	0.982	0.7873	400	All	0.991	0.8232	400	314	110	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cyathus	0.994	0.8135	400	All	0.991	0.8232	400	159	39	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Pseudocyphellaria	0.995	0.8822	400	Pseudocyphellaria	0.995	0.8822	400	182	47	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Phialemonium	0.975	0.8976	400	Phialemonium	0.975	0.8976	400	123	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Phomopsis	0.987	0.7814	400	All	0.991	0.8232	400	282	37	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Parmotrema	0.971	0.7448	400	All	0.991	0.8232	400	357	38	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cryptosporella	0.996	0.8653	400	Cryptosporella	0.996	0.8653	400	63	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Keratinophyton	0.992	0.9367	400	Keratinophyton	0.992	0.9367	400	59	16	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Trichoglossum	0.937	0.7411	400	All	0.991	0.8232	400	35	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tulostoma	0.993	0.9472	400	Tulostoma	0.993	0.9472	400	226	45	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Microglossum	0.994	0.7813	400	All	0.991	0.8232	400	59	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Geoglossum	0.962	0.7636	400	All	0.991	0.8232	400	76	22	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Ramariopsis	0.933	0.936	400	Ramariopsis	0.933	0.936	400	45	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Plenodomus	0.985	0.914	400	Plenodomus	0.985	0.914	400	223	25	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
