Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Ascosphaera	0.987	0.8647	50	Ascosphaera	0.987	0.8647	50	49	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Helicogloea	0.986	1.0	50	Helicogloea	0.986	1.0	50	32	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cercophora	0.99	0.8982	50	Cercophora	0.99	0.8982	50	55	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hymenogaster	0.977	0.782	50	All	0.987	0.8262	50	99	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Passalora	0.993	0.9149	50	Passalora	0.993	0.9149	50	33	24	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Leprocaulon	0.982	0.9286	50	Leprocaulon	0.982	0.9286	50	35	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Abrothallus	0.993	0.8429	50	Abrothallus	0.993	0.8429	50	35	22	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Fuscidea	0.966	0.963	50	Fuscidea	0.966	0.963	50	36	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dictyonema	0.947	0.9328	50	Dictyonema	0.947	0.9328	50	67	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Chaenothecopsis	0.983	0.875	50	Chaenothecopsis	0.983	0.875	50	44	29	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Neodevriesia	0.987	0.9141	50	Neodevriesia	0.987	0.9141	50	39	25	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Thelonectria	0.953	0.8087	50	All	0.987	0.8262	50	73	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Leucopaxillus	0.993	0.8283	50	Leucopaxillus	0.993	0.8283	50	56	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hyalorbilia	0.961	0.7206	50	All	0.987	0.8262	50	55	25	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
