Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	max proportion	fasta filename	classification filename
species	Coprinopsis	0.988	0.7592	258	65	50	0.1386	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phialocephala	0.987	0.9436	235	22	50	0.6187	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clonostachys	0.976	0.9445	532	21	50	0.7663	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Mucor	0.99	0.8964	715	42	50	0.291	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Laccaria	0.974	0.6935	174	27	50	0.1543	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Coprinellus	0.988	0.8001	414	38	50	0.2187	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ascochyta	0.955	0.7329	104	19	50	0.4386	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pertusaria	0.973	0.8088	78	34	50	0.1	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Calocybe	0.951	0.9689	68	13	50	0.3913	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Xeromphalina	0.992	0.8218	96	17	50	0.2667	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Xylaria	0.967	0.8098	402	80	50	0.1147	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Microascus	0.979	0.9532	190	26	50	0.2689	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tremella	0.964	0.8672	271	69	50	0.0971	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Marasmiellus	0.959	0.7978	71	25	50	0.3333	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Usnea	0.989	0.6738	402	79	50	0.0902	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Wickerhamomyces	0.983	0.9661	411	26	50	0.7685	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Oidiodendron	0.986	0.8759	98	18	50	0.287	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Exophiala	0.969	0.9545	588	39	50	0.2214	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fomitopsis	0.987	0.9357	277	23	50	0.3807	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chrysosporium	0.966	0.7767	119	26	50	0.1339	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cutaneotrichosporon	0.991	0.9286	71	10	50	0.2138	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Epicoccum	0.992	0.9438	428	13	50	0.6192	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Caloplaca	0.969	0.6832	331	83	50	0.1091	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cantharellus	0.99	0.8605	125	36	50	0.1078	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ustilago	0.995	0.9411	205	38	50	0.1963	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Candolleomyces	0.977	0.8843	184	13	50	0.8229	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cunninghamella	0.952	0.9369	153	11	50	0.3646	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Agrocybe	0.979	0.8911	140	20	50	0.3605	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rhizocarpon	0.951	0.7492	246	42	50	0.5595	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
